school,relationship_status,have_ever_relationship,life_satisfaction,relationship_satisfaction,self_desirability,num_relationships
Carleton College,"In a relationship, less than 6 months",Yes,6,6,4,1
Princeton University,"In a relationship, less than 6 months",Yes,7,7,6,1
Harvard College,Single and not looking for a relationship,No,5,3,6,
Harvard College,Single and looking for a relationship,No,,3,3,
Dartmouth College,Single and looking for a relationship,No,6,2,5,
Princeton University,Single and looking for a relationship,No,6,2,3,
Washington University in St. Louis,Single and not looking for a relationship,Yes,4,2,2,1
McGill University,Single and looking for a relationship,Yes,0,0,6,1
University of Wisconsin-Madison,Single and not looking for a relationship,No,4,3,4,
Yale University,Single and not looking for a relationship,Yes,6,2,6,
Yale University,Single and not looking for a relationship,Yes,2,0,0,5
University of Wisconsin-Madison,Single and not looking for a relationship,No,6,3,6,
University of Wisconsin-Madison,Single and looking for a relationship,No,5,2,6,
The University of Chicago,Single and looking for a relationship,Yes,6,2,4,
Yale University,Single and looking for a relationship,No,3,3,0,
Wellesley College,Single and not looking for a relationship,No,5,3,5,
Massachusetts Institute of Technology,Single and not looking for a relationship,Yes,4,4,4,
University of Wisconsin-Madison,"In a relationship, longer than 6 months",Yes,7,8,5,2
The University of Chicago,Single and looking for a relationship,Yes,5,3,5,1
Yale University,Single and not looking for a relationship,No,3,7,7,
Washington University in St. Louis,Single and not looking for a relationship,No,6,6,6,
Yale University,Single and looking for a relationship,Yes,7,3,5,2
Boston College,Single and looking for a relationship,No,2,0,3,
McGill University,Single and not looking for a relationship,No,4,4,4,
Washington University in St. Louis,Single and looking for a relationship,No,4,1,4,
The Claremont Colleges,Single and not looking for a relationship,No,,,,
Boston College,Single and not looking for a relationship,No,6,6,7,
The University of Chicago,Single and looking for a relationship,Yes,4,5,5,4
Yale University,Single and looking for a relationship,No,3,0,6,
University of Pennsylvania,Single and looking for a relationship,Yes,4,5,5,
Dartmouth College,Single and looking for a relationship,Yes,4,2,6,1
Boston College,Single and not looking for a relationship,No,6,1,2,
University of Wisconsin-Madison,Single and looking for a relationship,Yes,6,3,7,1
Princeton University,Single and looking for a relationship,No,5,2,6,
Carnegie Mellon University,Single and not looking for a relationship,No,2,1,5,
The University of Chicago,Single and not looking for a relationship,No,5,1,8,
Washington University in St. Louis,"In a relationship, longer than 6 months",Yes,6,5,4,1
The University of Chicago,Single and looking for a relationship,No,5,0,6,
Dartmouth College,Single and not looking for a relationship,No,4,2,,
The Claremont Colleges,Single and looking for a relationship,No,7,6,3,
